,fecha,prices bitcoin,market_caps bitcoin,total_volumes bitcoin,prices ethereum,market_caps ethereum,total_volumes ethereum,prices binancecoin,market_caps binancecoin,total_volumes binancecoin,prices cardano,market_caps cardano,total_volumes cardano,prices dogecoin,market_caps dogecoin,total_volumes dogecoin,prices solana,market_caps solana,total_volumes solana,prices polkadot,market_caps polkadot,total_volumes polkadot,prices matic-network,market_caps matic-network,total_volumes matic-network,prices litecoin,market_caps litecoin,total_volumes litecoin,prices ripple,market_caps ripple,total_volumes ripple,Year,Month
20,2020-09-07,10359.45,191501904758.68698,26560146962.23275,351.88,39639961273.34071,14769191933.857542,22.31,3289616682.4529815,565967822.6691893,0.09,2899784537.5109377,322785626.06581837,0.0,356752788.76039636,169336090.827107,2.91,99103615.3011978,15992080.626502352,4.59,4190737575.784357,365705934.9831117,0.02,71393754.35382769,10491919.798917934,48.74,3187880426.539466,2099946361.4162207,0.24,10890870593.009487,1999444569.4422069,2020,9
21,2020-09-08,10125.01,186825391248.7263,47780699209.09236,337.85,37835807856.34224,14799132842.838894,23.01,3391729400.819674,569283063.0351115,0.09,2834060081.1789083,513444901.65842754,0.0,348215107.4505111,152411543.57252827,2.47,85338829.21618006,10503232.091517104,4.28,3891004373.7933345,234920666.902606,0.02,69054173.53872572,8344260.574434052,47.49,3086867363.7127013,2054210894.2616763,0.24,10612102851.321522,1836240274.3074849,2020,9
22,2020-09-09,10230.15,188757938083.84296,21357083446.312523,351.23,39580368571.35996,13120851004.434223,24.49,3606231301.6235266,467657915.7861689,0.09,2900610470.196581,522884301.89236,0.0,350661184.76933914,115436169.98780194,3.63,121438753.71660663,46180176.27343093,4.7,4298181268.775718,274399152.6284701,0.02,75947690.53288002,16887212.32264951,47.8,3127426864.4230275,1877877856.2454195,0.24,10762935066.23375,1664634671.0189152,2020,9
23,2020-09-10,10342.16,191180566587.0585,77545788530.61436,367.64,41300327191.463684,74747424441.3974,24.41,3603704433.991752,480864281.37880474,0.1,3017276701.5456457,673573014.1854858,0.0,354979160.4402099,163488674.72100636,3.45,118759154.8277774,31817980.375814505,4.58,4177237545.060083,254092704.72602594,0.02,77815809.66363771,12567263.694234189,48.62,3181253592.174421,2178675858.905353,0.24,10937780219.207964,1707722753.4164515,2020,9
24,2020-09-11,10378.22,192111562749.9339,20796810115.947914,373.91,42135842526.32081,12937594458.734825,25.39,3752802265.119167,443497208.2735328,0.1,3021670767.4658203,658363819.7056384,0.0,352758323.58929694,150887311.42290655,3.45,121133286.76719753,16519855.116028652,4.63,4216287873.46031,212155209.23847777,0.02,80816181.20781186,11236729.831409046,49.03,3207855501.6070495,1785278604.8197348,0.24,10913243278.057064,1582869715.0586348,2020,9
25,2020-09-12,10439.38,192997988416.4807,19955498078.251053,387.72,43393172173.54062,11465259432.878637,28.45,4189027940.767463,722048008.6022166,0.1,3035646274.926691,616070407.8229095,0.0,355632828.2871596,134048169.56614007,3.33,116947704.57942767,10193775.121683143,5.14,4663414090.094169,317307477.3197743,0.02,79601629.40915214,9215642.776730252,50.83,3326453506.9084573,2076587851.7220533,0.25,11065127814.291183,1419186192.1654565,2020,9
26,2020-09-13,10328.87,190922719938.2308,21057424433.480133,365.7,41170490544.06533,13172306578.937866,31.12,4578726414.545887,1204406182.07132,0.1,2958040571.6542745,640311191.92505,0.0,350719443.03966904,132954529.99940333,3.22,112654349.57438488,15375145.93697348,5.29,4819470920.9595585,413410119.80475265,0.02,75278889.95368297,12776941.723488456,48.07,3146550355.8324947,1774626149.2591496,0.24,10882899642.99869,1590391766.8511598,2020,9
27,2020-09-14,10661.1,197010021430.2403,23526143436.490395,376.39,42353184458.585205,14124838468.354868,31.21,4512125844.064322,1073196306.9024168,0.1,3009809612.976871,734506817.1708077,0.0,353129088.14843374,146588554.092894,3.26,118721263.47138277,21853783.60876622,5.34,4874640596.625649,368584203.1748962,0.02,76452153.56226835,9769581.178492209,49.02,3208482063.2779303,1932536087.93956,0.25,11089299566.068031,1606167309.6798735,2020,9
28,2020-09-15,10787.58,199044338127.62628,23802088944.396893,364.69,41019180031.929504,12209389923.086823,27.18,4009700860.4941754,935693765.1603587,0.09,2907122714.2202334,678077442.777371,0.0,357370626.0538731,130436953.48894142,2.93,107150010.94799854,12635260.000412077,5.11,4673343463.456086,301361216.948819,0.02,77608855.0548372,16804788.226923455,48.3,3156431520.0266995,1833570761.200332,0.24,10924989830.669458,1656784495.1654375,2020,9
29,2020-09-16,10952.25,202524001250.4926,24459086808.776905,365.13,41136175614.140686,13298202038.469078,27.86,4122357757.56389,711704644.2212099,0.09,2842675715.2577634,681410813.8679094,0.0,356002618.9515897,155392568.24782863,2.55,94070098.59695262,24795333.687555198,5.08,4634502327.79378,272070780.6235744,0.02,75665228.17153534,11826080.934091147,47.85,3133549759.262185,1879283897.0237267,0.25,11135223431.648582,1770612287.3259656,2020,9
